series,peak,time_h,ln_count_rate,source_row
chamber2,633keV,762.7,4.20634,42
chamber3,747keV,692.9,4.6766,42
chamber3,633keV,692.9,4.66271,42
chamber4,747keV,692.7,4.75183,42
chamber4,633keV,692.7,4.63218,42
chamber1,747keV,786.4,3.98702,43
chamber1,633keV,786.4,3.92156,43
chamber2,747keV,786.5,4.00946,43
chamber2,633keV,786.5,4.05395,43
chamber3,747keV,714.5,4.56176,43
chamber3,633keV,714.5,4.50927,43
chamber4,747keV,714.6,4.60696,43
chamber4,633keV,714.6,4.49451,43
chamber1,747keV,811.0,3.85772,44
chamber1,633keV,811.0,3.80629,44
chamber2,747keV,811.2,3.90925,44
chamber2,633keV,811.2,3.90508,44
chamber3,747keV,740.8,4.35742,44
chamber3,633keV,740.8,4.33958,44
chamber4,747keV,741.0,4.40266,44
chamber4,633keV,741.0,4.33675,44
chamber1,747keV,834.2,3.75705,45
chamber1,633keV,834.2,3.61327,45
chamber2,747keV,834.3,3.79693,45
chamber2,633keV,834.3,3.69277,45
chamber3,747keV,762.9,4.13377,45
chamber3,633keV,762.9,4.21808,45
chamber4,747keV,763.0,4.19524,45
chamber4,633keV,763.0,4.17728,45
chamber1,747keV,858.4,3.60148,46
chamber1,633keV,858.4,3.44865,46
chamber2,747keV,858.5,3.63469,46
chamber2,633keV,858.5,3.5619,46
chamber3,747keV,786.7,4.04139,46
chamber3,633keV,786.7,4.01884,46
chamber4,747keV,786.8,4.09086,46
chamber4,633keV,786.8,4.03927,46
chamber1,747keV,884.2,3.36338,47
chamber1,633keV,884.2,3.31176,47
chamber2,747keV,884.4,3.44254,47
chamber2,633keV,884.4,3.36691,47
chamber3,747keV,811.4,3.88847,47
chamber3,633keV,811.4,3.87438,47
chamber4,747keV,811.6,3.98801,47
chamber4,633keV,811.6,3.87751,47
chamber1,747keV,910.3,3.20265,48
chamber1,633keV,910.3,3.12656,48
chamber2,747keV,910.6,3.31343,48
chamber2,633keV,910.6,3.25706,48
chamber3,747keV,834.5,3.77876,48
chamber3,633keV,834.5,3.75936,48
chamber4,747keV,834.7,3.83221,48
chamber4,633keV,834.7,3.69603,48
chamber1,747keV,930.5,3.0542,49
chamber1,633keV,930.5,3.02063,49
chamber2,747keV,930.8,3.18118,49
chamber2,633keV,930.8,3.12184,49
chamber3,747keV,858.7,3.61607,49
chamber3,633keV,858.7,3.56133,49
chamber4,747keV,858.9,3.67564,49
chamber4,633keV,858.9,3.55475,49
chamber1,747keV,954.6,2.96077,50
chamber1,633keV,954.6,2.85887,50
chamber2,747keV,954.9,2.98453,50
chamber2,633keV,954.9,2.97281,50
chamber3,747keV,884.6,3.44168,50
chamber3,633keV,884.6,3.4254,50
chamber4,747keV,884.7,3.47079,50
chamber4,633keV,884.7,3.39009,50
chamber1,747keV,980.4,2.78347,51
chamber1,633keV,980.4,2.65989,51
chamber2,747keV,980.1,2.85146,51
chamber2,633keV,980.1,2.77331,51
chamber3,747keV,910.9,3.24968,51
chamber3,633keV,910.9,3.24444,51
chamber4,747keV,911.2,3.32816,51
chamber4,633keV,911.2,3.2305,51
chamber1,747keV,1002.7,2.61033,52
chamber1,633keV,1002.7,2.53968,52
chamber2,747keV,1003.1,2.66202,52
chamber2,633keV,1003.1,2.65457,52
chamber3,747keV,931.1,3.14765,52
chamber3,633keV,931.1,3.08601,52
chamber4,747keV,931.4,3.21702,52
chamber4,633keV,931.4,3.12845,52
chamber1,747keV,1029.0,2.50341,53
chamber1,633keV,1029.0,2.40302,53
chamber2,747keV,1028.6,2.52092,53
chamber2,633keV,1028.6,2.47542,53
chamber3,747keV,955.2,2.97136,53
chamber3,633keV,955.2,2.91962,53
chamber4,747keV,955.4,3.03949,53
chamber4,633keV,955.4,2.97704,53
chamber1,747keV,955.9,2.91263,54
chamber1,633keV,955.9,2.88555,54
chamber2,747keV,955.8,2.98238,54
chamber2,633keV,955.8,2.95245,54
chamber3,747keV,979.7,2.84043,54
chamber3,633keV,979.7,2.76521,54
chamber4,747keV,979.4,2.87658,54
chamber4,633keV,979.4,2.78901,54
chamber1,747keV,978.5,2.81453,55
chamber1,633keV,978.5,2.66957,55
chamber2,747keV,978.6,2.83315,55
chamber2,633keV,978.6,2.81882,55
chamber3,747keV,1003.7,2.64496,55
chamber3,633keV,1003.7,2.62355,55
chamber4,747keV,1004.1,2.72748,55
chamber4,633keV,1004.1,2.65106,55
chamber1,747keV,1004.6,2.64418,56
chamber1,633keV,1004.6,2.54622,56
chamber2,747keV,1004.5,2.68949,56
chamber2,633keV,1004.5,2.65619,56
chamber3,747keV,1028.3,2.53675,56
chamber3,633keV,1028.3,2.48288,56
chamber4,747keV,1027.8,2.52906,56
chamber4,633keV,1027.8,2.44255,56
chamber1,747keV,1026.9,2.48664,57
chamber1,633keV,1026.9,2.36012,57
chamber2,747keV,1027.1,2.51392,57
chamber2,633keV,1027.1,2.44864,57
chamber3,747keV,955.7,2.98539,57
chamber3,633keV,955.7,2.9458,57
chamber4,747keV,955.6,3.0253,57
chamber4,633keV,955.6,2.95482,57
chamber1,747keV,1051.2,2.31221,58
chamber1,633keV,1051.2,2.24979,58
chamber2,747keV,1051.4,2.36933,58
chamber2,633keV,1051.4,2.35245,58
chamber3,747keV,978.8,2.83234,58
chamber3,633keV,978.8,2.77223,58
chamber4,747keV,979.0,2.86238,58
chamber4,633keV,979.0,2.79675,58
chamber1,747keV,1078.5,2.19788,59
chamber1,633keV,1078.5,2.0702,59
chamber2,747keV,1078.7,2.16252,59
chamber2,633keV,1078.7,2.16498,59
chamber3,747keV,1004.3,2.65446,59
chamber3,633keV,1004.3,2.59529,59
chamber4,747keV,1004.2,2.72714,59
chamber4,633keV,1004.2,2.61151,59
chamber1,747keV,1100.0,2.02697,60
chamber1,633keV,1100.0,1.91838,60
chamber2,747keV,1100.6,2.00795,60
chamber2,633keV,1100.6,2.05705,60
chamber3,747keV,1027.3,2.52131,60
chamber3,633keV,1027.3,2.47794,60
chamber4,747keV,1027.5,2.5578,60
chamber4,633keV,1027.5,2.49659,60
chamber1,747keV,1123.8,1.84737,61
chamber1,633keV,1123.8,1.80302,61
chamber2,747keV,1124.1,1.86938,61
chamber2,633keV,1124.1,1.83794,61
chamber3,747keV,1051.6,2.39879,61
chamber3,633keV,1051.6,2.31142,61
chamber4,747keV,1051.7,2.43861,61
chamber4,633keV,1051.7,2.31036,61
chamber1,747keV,1149.3,1.62175,62
chamber1,633keV,1149.3,1.55616,62
chamber2,747keV,1149.0,1.7181,62
chamber2,633keV,1149.0,1.69313,62
chamber3,747keV,1079.0,2.22121,62
chamber3,633keV,1079.0,2.14385,62
chamber4,747keV,1079.2,2.19759,62
chamber4,633keV,1079.2,2.14868,62
chamber1,747keV,1171.9,1.52647,63
chamber1,633keV,1171.9,1.46551,63
chamber2,747keV,1172.3,1.54726,63
chamber2,633keV,1172.3,1.52523,63
chamber3,747keV,1100.9,2.03642,63
chamber3,633keV,1100.9,2.01404,63
chamber4,747keV,1101.4,2.06764,63
chamber4,633keV,1101.4,2.00401,63
chamber1,747keV,1197.7,1.33261,64
chamber1,633keV,1197.7,1.303,64
chamber2,747keV,1197.3,1.37262,64
chamber2,633keV,1197.3,1.46431,64
chamber3,747keV,1124.4,1.88566,64
chamber3,633keV,1124.4,1.84292,64
chamber4,747keV,1124.9,1.89748,64
chamber4,633keV,1124.9,1.84334,64
chamber1,747keV,1126.1,1.79806,65
chamber1,633keV,1126.1,1.74409,65
chamber2,747keV,1125.9,1.85996,65
chamber2,633keV,1125.9,1.87395,65
chamber3,747keV,1148.7,1.71317,65
chamber3,633keV,1148.7,1.69937,65
chamber4,747keV,1148.4,1.75946,65
chamber4,633keV,1148.4,1.72129,65
chamber1,747keV,1147.1,1.69662,66
chamber1,633keV,1147.1,1.59963,66
chamber2,747keV,1147.3,1.7395,66
chamber2,633keV,1147.3,1.67601,66
chamber3,747keV,1172.7,1.56844,66
chamber3,633keV,1172.7,1.54341,66
chamber4,747keV,1173.1,1.62103,66
chamber4,633keV,1173.1,1.54233,66
chamber1,747keV,1174.0,1.49083,67
chamber1,633keV,1174.0,1.44758,67
chamber2,747keV,1173.7,1.49869,67
chamber2,633keV,1173.7,1.56766,67
chamber3,747keV,1196.8,1.41249,67
chamber3,633keV,1196.8,1.42245,67
chamber4,747keV,1196.5,1.40447,67
chamber4,633keV,1196.5,1.4619,67
chamber1,747keV,1195.3,1.34268,68
chamber1,633keV,1195.3,1.33639,68
chamber2,747keV,1195.6,1.4092,68
chamber2,633keV,1195.6,1.40298,68
chamber3,747keV,1125.7,1.91479,68
chamber3,633keV,1125.7,1.86971,68
chamber4,747keV,1125.5,1.91117,68
chamber4,633keV,1125.5,1.87625,68
chamber1,747keV,1220.3,1.15424,69
chamber1,633keV,1220.3,1.12888,69
chamber2,747keV,1220.5,1.25698,69
chamber2,633keV,1220.5,1.23707,69
chamber3,747keV,1147.7,1.75941,69
chamber3,633keV,1147.7,1.68766,69
chamber4,747keV,1148.0,1.75722,69
chamber4,633keV,1148.0,1.72105,69
chamber1,747keV,1244.4,1.01411,70
chamber1,633keV,1244.4,0.96424,70
chamber2,747keV,1244.7,1.08346,70
chamber2,633keV,1244.7,0.99632,70
chamber3,747keV,1173.5,1.55945,70
chamber3,633keV,1173.5,1.52013,70
chamber4,747keV,1173.3,1.56436,70
chamber4,633keV,1173.3,1.54643,70
chamber1,747keV,1268.2,0.83655,71
chamber1,633keV,1268.2,0.75903,71
chamber2,747keV,1268.5,0.89147,71
chamber2,633keV,1268.5,0.84578,71
chamber3,747keV,1195.8,1.34612,71
chamber3,633keV,1195.8,1.43067,71
chamber4,747keV,1196.1,1.44969,71
chamber4,633keV,1196.1,1.42513,71
chamber1,747keV,1292.4,0.71633,72
chamber1,633keV,1292.4,0.61069,72
chamber2,747keV,1293.2,0.74151,72
chamber2,633keV,1293.2,0.6791,72
chamber3,747keV,1220.8,1.26703,72
chamber3,633keV,1220.8,1.25465,72
chamber4,747keV,1221.1,1.26201,72
chamber4,633keV,1221.1,1.25219,72
chamber1,747keV,1316.5,0.48131,73
chamber1,633keV,1316.5,0.46493,73
chamber2,747keV,1316.2,0.5611,73
chamber2,633keV,1316.2,0.54058,73
chamber3,747keV,1245.0,1.12756,73
chamber3,633keV,1245.0,1.0284,73
chamber4,747keV,1245.3,1.08363,73
chamber4,633keV,1245.3,1.11671,73
chamber1,747keV,1340.7,0.25239,74
chamber1,633keV,1340.7,0.41442,74
chamber2,747keV,1341.4,0.33761,74
chamber2,633keV,1341.4,0.52082,74
chamber3,747keV,1268.9,0.93102,74
chamber3,633keV,1268.9,0.78814,74
chamber4,747keV,1269.2,0.92497,74
chamber4,633keV,1269.2,0.86928,74
chamber1,747keV,1364.9,0.06373,75
chamber1,633keV,1364.9,0.25154,75
chamber2,747keV,1365.3,0.19934,75
chamber2,633keV,1365.3,0.35963,75
chamber3,747keV,1293.5,0.76393,75
chamber3,633keV,1293.5,0.68183,75
chamber4,747keV,1293.8,0.78718,75
chamber4,633keV,1293.8,0.6795,75
chamber1,747keV,1389.9,-0.09222,76
chamber1,633keV,1389.9,0.12822,76
chamber2,747keV,1390.4,0.02489,76
chamber2,633keV,1390.4,0.10688,76
chamber3,747keV,1316.7,0.64516,76
chamber3,633keV,1316.7,0.63932,76
chamber4,747keV,1317.2,0.55939,76
chamber4,633keV,1317.2,0.665,76
chamber1,747keV,1418.8,-0.31143,77
chamber1,633keV,1418.8,-0.13662,77
chamber2,747keV,1419.4,-0.2361,77
chamber2,633keV,1419.4,-0.07548,77
chamber3,747keV,1341.8,0.39851,77
chamber3,633keV,1341.8,0.47468,77
chamber4,747keV,1342.8,0.40065,77
chamber4,633keV,1342.8,0.47586,77
chamber1,747keV,1431.4,-0.43665,78
chamber1,633keV,1431.4,-0.1514,78
chamber2,747keV,1432.0,-0.33017,78
chamber2,633keV,1432.0,-0.14653,78
chamber3,747keV,1365.8,0.15854,78
chamber3,633keV,1365.8,0.2727,78
chamber4,747keV,1366.2,0.22202,78
chamber4,633keV,1366.2,0.32491,78
chamber2,747keV,1468.2,-0.58717,79
chamber2,633keV,1468.2,-0.33087,79
chamber3,747keV,1390.8,-0.03542,79
chamber3,633keV,1390.8,0.17126,79
chamber4,747keV,1391.3,0.02898,79
chamber4,633keV,1391.3,0.13103,79
chamber2,747keV,1487.1,-0.82462,80
chamber2,633keV,1487.1,-0.40003,80
chamber3,747keV,1420.4,-0.22189,80
chamber3,633keV,1420.4,-0.02933,80
chamber4,747keV,1421.4,-0.20555,80
chamber4,633keV,1421.4,-0.04406,80
chamber2,747keV,1516.7,-1.07119,81
chamber2,633keV,1516.7,-0.69535,81
chamber3,747keV,1432.6,-0.27694,81
chamber3,633keV,1432.6,-0.08197,81
chamber4,747keV,1433.2,-0.26723,81
chamber4,633keV,1433.2,-0.07526,81
chamber2,747keV,1527.6,-1.09751,82
chamber2,633keV,1527.6,-1.07032,82
chamber3,747keV,1468.8,-0.60789,82
chamber3,633keV,1468.8,-0.28316,82
chamber4,747keV,1469.6,-0.58771,82
chamber4,633keV,1469.6,-0.2408,82
chamber2,747keV,1566.8,-1.80972,83
chamber2,633keV,1566.8,-1.30085,83
chamber3,747keV,1487.6,-0.83402,83
chamber3,633keV,1487.6,-0.57625,83
chamber4,747keV,1488.1,-0.85755,83
chamber4,633keV,1488.1,-0.5487,83
chamber3,747keV,1517.3,-1.11383,84
chamber3,633keV,1517.3,-0.61545,84
chamber4,747keV,1518.4,-1.02834,84
chamber4,633keV,1518.4,-0.66262,84
chamber3,747keV,1528.4,-1.18974,85
chamber3,633keV,1528.4,-1.01115,85
chamber4,747keV,1529.2,-1.15709,85
chamber4,633keV,1529.2,-0.97896,85
