sheet,time_h,source_row,rate_747_cps,rate_747_err,rate_633_cps,rate_633_err,ln_747_corrected,ln_633_corrected,counts_747_corrected,counts_633_corrected
修正后伽马谱 (2),1527.6,63,0.3337,,0.3429,,-1.09751289322481,-1.07031641951326,,
修正后伽马谱 (2),1566.8,64,0.1637,,0.2723,,-1.80971979460505,-1.30085087930242,,
修正后伽马谱 (3),56.2,2,14.0641,,4.0998,,8.86022337573542,8.75170523234257,7053.70435903598,6328.81194638729
修正后伽马谱 (3),91.3,3,10.8812,,3.356,,8.6036344539287,8.55151682891488,5457.35367862446,5180.61683303472
修正后伽马谱 (3),114.8,4,9.4603,,2.9646,,8.46370201949973,8.42750915640754,4744.71593260771,4576.41736091023
修正后伽马谱 (3),138.7,5,8.1186,,2.6057,,8.31075564998072,8.29846839342962,4071.80013006659,4022.38774786608
修正后伽马谱 (3),162.9,6,6.7688,,2.2551,,8.12892174309336,8.15396135817932,3394.82185603364,3481.17074498707
修正后伽马谱 (3),186.7,7,6.1559,,1.7572,,8.03400889599541,7.90448867342941,3087.4281798188,2712.56850387623
修正后伽马谱 (3),211.2,8,5.0744,,1.5851,,7.84080621580275,7.80141453713163,2545.01300470646,2446.89980394617
修正后伽马谱 (3),235.7,9,4.2538,,1.3632,,7.66441062556351,7.65060191740284,2133.44953480616,2104.35544302531
修正后伽马谱 (3),260.1,10,3.6513,,1.1325,,7.51168119303169,7.46519461868497,1831.27187137094,1748.22662795346
修正后伽马谱 (3),284.3,11,3.026,,0.9821,,7.32383953983137,7.32270489749151,1517.65910299577,1516.05595700936
修正后伽马谱 (3),308.1,12,2.6744,,0.808,,7.20032298058896,7.12757381984888,1341.3177478691,1247.29988113589
修正后伽马谱 (3),331.8,13,2.2869,,0.706,,7.04379511314541,6.99262699882103,1146.9711178589,1089.8437080222
修正后伽马谱 (3),355.6,14,1.9978,,0.6079,,6.90864449958112,6.84302215608246,1001.97599337903,938.407917998155
修正后伽马谱 (3),453.3,18,1.0784,,0.3336,,6.29207638564111,6.24295443181238,540.860402072255,514.974307360067
修正后伽马谱 (3),477.5,19,0.9089,,0.2813,,6.12107772260779,6.0724334768236,455.849424558116,434.239426440008
修正后伽马谱 (3),501.6,20,0.7618,,0.2401,,5.94452669952757,5.91406726455499,382.072936107793,370.639482005851
修正后伽马谱 (3),598.4,24,33.7744,,29.5727,,5.33768251956211,5.26252499041832,208.238301610299,193.04102765186
修正后伽马谱 (3),619.0,25,29.1353,,25.6645,,5.18992989792824,5.12078206600141,179.635623102306,167.529561188906
修正后伽马谱 (3),645.6,26,24.0223,,21.5929,,4.99696196609892,4.94803790891496,148.111082736424,140.951472337117
修正后伽马谱 (3),666.4,27,20.5051,,18.9671,,4.83865303618388,4.81837925126681,126.425553032751,123.81109860025
修正后伽马谱 (3),692.9,28,17.4375,,16.2329,,4.67660246007403,4.66271339898242,107.512061926476,105.963124698451
修正后伽马谱 (3),714.5,29,15.5457,,13.9237,,4.56176347354576,4.50926577614764,95.8480436467626,90.8894134359125
修正后伽马谱 (3),740.8,30,12.6726,,11.7506,,4.35742158292846,4.33957765507969,78.1337551810445,76.7041189856168
修正后伽马谱 (3),762.9,31,10.1329,,10.4062,,4.13376695616424,4.21807513432782,62.4750665115293,67.928310298038
