file,root_file,spec_id,detector,acquired_at,live_time_s,real_time_s,dead_time_percent,n_channels,total_counts
11.02_2_with Cu.Spe,11.02_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-02 09:19:37,497.0,518.0,4.0541,16384,353103
11.02_4_with Cu.Spe,11.02_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-02 09:42:16,274.0,285.0,3.8596,16384,187839
11.03_1_with Cu.Spe,11.03_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-03 09:03:41,648.0,671.0,3.4277,16384,390092
11.03_2_with Cu.Spe,11.03_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-03 09:17:13,576.0,597.0,3.5176,16384,358336
11.03_3_with Cu.Spe,11.03_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-03 09:29:26,566.0,586.0,3.4130,16384,340418
11.03_4_with Cu.Spe,11.03_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-03 09:41:06,635.0,657.0,3.3486,16384,378721
11.04_1_with Cu.Spe,11.04_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 09:02:46,766.0,790.0,3.0380,16384,405022
11.04_2_with Cu.Spe,11.04_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 09:17:59,848.0,875.0,3.0857,16384,460931
11.04_3_with Cu.Spe,11.04_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 09:35:08,695.0,716.0,2.9330,16384,364380
11.04_3_with Pb.Spe,11.04_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 11:10:23,4038.0,4063.0,0.6153,16384,423290
11.04_4_with Cu.Spe,11.04_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 09:49:52,734.0,756.0,2.9101,16384,380148
11.04_4_with Pb.Spe,11.04_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-04 10:06:40,3677.0,3699.0,0.5948,16384,381237
11.05_1_with Cu.Spe,11.05_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 09:38:18,878.0,901.0,2.5527,16384,405747
11.05_2_with Cu.Spe,11.05_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 09:55:36,857.0,881.0,2.7242,16384,405146
11.05_3_with Cu.Spe,11.05_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 10:12:37,779.0,800.0,2.6250,16384,354165
11.05_3_with Pb.Spe,11.05_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 11:37:35,3073.0,3089.0,0.5180,16384,284262
11.05_4_with Cu.Spe,11.05_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 10:28:13,784.0,805.0,2.6087,16384,352305
11.05_4_with Pb.Spe,11.05_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-05 10:44:56,2998.0,3014.0,0.5309,16384,272835
11.06_1_with Cu.Spe,11.06_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 09:02:49,1023.0,1047.0,2.2923,16384,418636
11.06_2_with Cu.Spe,11.06_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 09:23:33,1138.0,1165.0,2.3176,16384,473138
11.06_3_with Cu.Spe,11.06_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 09:45:07,897.0,918.0,2.2876,16384,356745
11.06_3_with Pb.Spe,11.06_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 11:27:25,4188.0,4208.0,0.4753,16384,339918
11.06_4_with Cu.Spe,11.06_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 10:02:38,871.0,890.0,2.1348,16384,341180
11.06_4_with Pb.Spe,11.06_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-06 10:20:51,3628.0,3645.0,0.4664,16384,289122
11.07_1_with Cu.Spe,11.07_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-07 09:02:50,1285.0,1312.0,2.0579,16384,466655
11.07_2_with Cu.Spe,11.07_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-07 09:27:33,1089.0,1112.0,2.0683,16384,397110
11.07_3_with Cu.Spe,11.07_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-07 09:48:12,1133.0,1156.0,1.9896,16384,393887
11.07_4_with Cu.Spe,11.07_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-07 10:09:31,1127.0,1149.0,1.9147,16384,384258
11.08_1_with Cu.Spe,11.08_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-08 09:02:59,1353.0,1378.0,1.8142,16384,432886
11.08_2_with Cu.Spe,11.08_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-08 09:28:28,1332.0,1357.0,1.8423,16384,430115
11.08_3_with Cu.Spe,11.08_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-08 09:53:27,1364.0,1388.0,1.7291,16384,416023
11.08_4_with Cu.Spe,11.08_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-08 10:18:45,1608.0,1636.0,1.7115,16384,481874
11.09_1_with Cu.Spe,11.09_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-09 09:47:47,1624.0,1651.0,1.6354,16384,461246
11.09_2_with Cu.Spe,11.09_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-09 10:22:36,1875.0,1906.0,1.6264,16384,530675
11.09_3_with Cu.Spe,11.09_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-09 10:56:29,1512.0,1535.0,1.4984,16384,400190
11.09_4_with Cu.Spe,11.09_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-09 11:24:11,1519.0,1542.0,1.4916,16384,395023
11.10_1_with 12.5.Spe,11.10_1_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 13:11:16,246.0,257.0,4.2802,16384,201418
11.10_1_with 12.5_1_L.Spe,11.10_1_with 12.5_1_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 17:28:28,495.0,507.0,2.3669,16384,198660
11.10_1_with 12.5_1_R.Spe,11.10_1_with 12.5_1_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 17:18:51,513.0,525.0,2.2857,16384,211346
11.10_1_with 12.5_4_L.Spe,11.10_1_with 12.5_4_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:46:04,646.0,661.0,2.2693,16384,257361
11.10_1_with 12.5_4_R.Spe,11.10_1_with 12.5_4_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:58:08,510.0,523.0,2.4857,16384,209345
11.10_1_with Cu.Spe,11.10_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 09:03:11,1780.0,1806.0,1.4396,16384,452965
11.10_2_with 12.5.Spe,11.10_2_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 13:18:36,183.0,192.0,4.6875,16384,150213
11.10_2_with 12.5_2_L.Spe,11.10_2_with 12.5_2_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:30:12,463.0,475.0,2.5263,16384,190364
11.10_2_with 12.5_2_R.Spe,11.10_2_with 12.5_2_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:38:51,303.0,311.0,2.5723,16384,127490
11.10_2_with 12.5_3_L.Spe,11.10_2_with 12.5_3_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:10:41,551.0,564.0,2.3050,16384,218817
11.10_2_with 12.5_3_R.Spe,11.10_2_with 12.5_3_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 16:21:04,484.0,496.0,2.4194,16384,197370
11.10_2_with Cu.Spe,11.10_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 09:35:28,1990.0,2019.0,1.4364,16384,500720
11.10_3_with 12.5.Spe,11.10_3_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 13:23:49,164.0,171.0,4.0936,16384,127980
11.10_3_with 12.5_8_L.Spe,11.10_3_with 12.5_8_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 15:05:36,535.0,548.0,2.3723,16384,216005
11.10_3_with 12.5_8_R.Spe,11.10_3_with 12.5_8_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 15:16:06,412.0,423.0,2.6005,16384,174480
11.10_3_with 12.5_9_L.Spe,11.10_3_with 12.5_9_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 14:45:36,490.0,500.0,2.0000,16384,175105
11.10_3_with 12.5_9_L_13h.Spe,11.10_3_with 12.5_9_L_13h.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 17:48:38,51590.0,52480.0,1.6959,16384,15244498
11.10_3_with 12.5_9_R.Spe,11.10_3_with 12.5_9_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 14:54:42,492.0,503.0,2.1869,16384,186235
11.10_3_with Cu.Spe,11.10_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 10:11:37,1673.0,1696.0,1.3561,16384,393021
11.10_4_with 12.5.Spe,11.10_4_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 13:28:38,218.0,228.0,4.3860,16384,167819
11.10_4_with 12.5_5_L.Spe,11.10_4_with 12.5_5_L.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 15:49:11,504.0,515.0,2.1359,16384,195203
11.10_4_with 12.5_5_R.Spe,11.10_4_with 12.5_5_R.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-10 15:59:59,462.0,473.0,2.3256,16384,190346
