202,11.17,3,11.17_3_with 12...,762.9,10.1329,10.4062
203,11.18,3,11.18_3_with 12...,786.7,9.2388,8.5264
204,11.19,3,11.19_3_with 12...,811.4,7.9287,7.3795
205,11.20,3,11.20_3_with 12...,834.5,7.1049,6.5777
206,11.21,3,11.21_3_with 12...,858.7,6.0381,5.396
207,11.22,3,11.22_3_with 12...,884.6,5.0718,4.7102
208,11.23,3,11.23_3_with 12...,910.9,4.1858,3.9305
209,11.24,3,11.24_3_with 12...,931.1,3.7798,3.3546
210,11.25,3,11.25_3_with 12...,955.2,3.1689,2.8404,1
211,11.26,3,11.26_3_with 12...,979.7,2.78,2.434,1
212,11.27,3,11.27_3_with 12...,1003.7,2.2864,2.1125,1
213,11.28,3,11.28_3_with 12...,1028.3,2.0519,1.8353,1
214,11.25,3,11.25_3_with 0....,955.7,9.323,8.9806,2
215,11.26,3,11.26_3_with 0....,978.8,8,7.5496,2
216,11.27,3,11.27_3_with 0....,1004.3,6.6963,6.3253,2
217,11.28,3,11.28_3_with 0....,1027.3,5.8615,5.6249,2
218,11.29,3,11.29_3_with 0....,1051.6,5.1856,4.7621
219,11.30,3,11.30_3_with 0....,1079,4.3419,4.0274
220,12.01,3,12.01_3_with 0....,1100.9,3.6093,3.5371
221,12.02,3,12.02_3_with 0....,1124.4,3.1042,2.9808,1
222,12.03,3,12.03_3_with 0....,1148.7,2.6124,2.5822,1
223,12.04,3,12.04_3_with 0....,1172.7,2.2604,2.2093,1
224,12.05,3,12.05_3_with 0....,1196.8,1.934,1.9576,1
225,12.02,3,12.02_3_with 0_...,1125.7,6.7855,6.4864,2
226,12.03,3,12.03_3_with 0_...,1147.7,5.809,5.4068,2
227,12.04,3,12.04_3_with 0_...,1173.5,4.7562,4.5728,2
228,12.05,3,12.05_3_with 0_...,1195.8,3.8425,4.1815,2
229,12.06,3,12.06_3_with 0_...,1220.8,3.5503,3.5066
230,12.07,3,12.07_3_with 0_...,1245,3.0881,2.7966
231,12.08,3,12.08_3_with 0_...,1268.9,2.5371,2.1993
232,12.09,3,12.09_3_with 0_...,1293.5,2.1467,1.9775
233,12.10,3,12.10_3_with 0_...,1316.7,1.9063,1.8952
234,12.11,3,12.11_3_with 1_...,1341.8,1.4896,1.6075
235,12.12,3,12.12_3_with 1_...,1365.8,1.1718,1.3135
236,12.13,3,12.13_3_with 1_...,1390.8,0.9652,1.1868
237,12.14,3,12.14_3_with 1_...,1420.4,0.801,0.9711
238,12.15,3,12.15_3_with 1_...,1432.6,0.7581,0.9213
239,12.16,3,12.16_3_with 1_...,1468.8,0.5445,0.7534
240,12.17,3,12.17_3_with 1_...,1487.6,0.4343,0.562
241,12.18,3,12.18_3_with 1_...,1517.3,0.3283,0.5404
242,12.19,3,12.19_3_with 1_...,1528.4,0.3043,0.3638
243,10.18,4,10.18_4_with Pb...,56,13.911,4.2436
244,10.20,4,10.20_4_with Pb...,91.7,10.8365,3.3091
245,10.21,4,10.21_4_with Pb...,115,9.7307,2.9784
246,10.22,4,10.22_4_with Pb...,138.9,8.2458,2.405
247,10.23,4,10.23_4_with Pb...,162.7,6.8938,2.1032
248,10.24,4,10.24_4_with Pb...,186.9,6.1458,1.92
249,10.25,4,10.25_4_with Pb...,211.6,5.1718,1.7019
250,10.26,4,10.26_4_with Pb...,236.1,4.2808,1.381
251,10.27,4,10.27_4_with Pb...,260.7,3.7023,1.1169
252,10.28,4,10.28_4_with Pb...,284.9,3.2332,0.9738
253,10.29,4,10.29_4_with Pb...,308.7,2.7115,0.8135,1
254,10.30,4,10.30_4_with Pb...,331.3,2.4188,0.747,1
255,10.31,4,10.31_4_with Pb...,356.2,2.0244,0.651,1
256,10.29,4,10.29_4_with Cu...,309,20.541,14.3946,2
257,10.30,4,10.30_4_with Cu...,330.7,18.4471,12.8627,2
258,10.31,4,10.31_4_with Cu...,356.4,15.7014,10.7048,2
259,11.01,4,11.01_4_with Cu...,378.8,13.2181,9.2648
260,11.02,4,11.02_4_with Cu...,402.8,11.3266,7.6911
261,11.03,4,11.03_4_with Cu...,426.9,9.7724,6.7126
262,11.04,4,11.04_4_with Cu...,451,8.3651,5.7456
263,11.04,4,11.04_4_with Pb...,452.1,1.0668,0.3451
264,11.05,4,11.05_4_with Pb...,476.6,0.9488,0.2908,1
265,11.06,4,11.06_4_with Pb...,500.4,0.8033,0.2634,1
266,11.05,4,11.05_4_with Cu...,475.7,7.229,4.9298,2
267,11.06,4,11.06_4_with Cu...,499.3,6.3628,4.1637,2
268,11.07,4,11.07_4_with Cu...,523.5,5.1371,3.53
269,11.08,4,11.08_4_with Cu...,547.8,4.5435,3.1038
270,11.09,4,11.09_4_with Cu...,572.8,3.79,2.6142
271,11.10,4,11.10_4_with Cu...,596.2,3.2488,2.258,1
272,11.11,4,11.11_4_with Cu...,621.6,2.8244,1.8902,1
273,11.12,4,11.12_4_with Cu...,646.3,2.262,1.6908,1
274,11.13,4,11.13_4_with Cu...,667.5,2,1.4724,1
275,11.14,4,11.14_4_with Cu...,692.5,1.7754,1.2444,1
276,11.15,4,11.15_4_with Cu...,715.2,1.4491,1.0383,1
277,11.10,4,11.10_4_with 12...,598.5,32.8578,29.6941,2
278,11.11,4,11.11_4_with 12...,619.1,29.7785,25.7206,2
279,11.12,4,11.12_4_with 12...,645.7,24.2188,21.7039,2
280,11.13,4,11.13_4_with 12...,666.9,20.4012,19.1907,2
281,11.14,4,11.14_4_with 12...,692.7,17.728,16.015,2
282,11.15,4,11.15_4_with 12...,714.6,15.337,13.9552,2
283,11.16,4,11.16_4_with 12...,741,12.5031,11.9185
284,11.17,4,11.17_4_with 12...,763,10.161,10.1617
285,11.18,4,11.18_4_with 12...,786.8,9.1538,8.8517
286,11.19,4,11.19_4_with 12...,811.6,8.2592,7.5297
287,11.20,4,11.20_4_with 12...,834.7,7.0676,6.28
288,11.21,4,11.21_4_with 12...,858.9,6.0433,5.4526
289,11.22,4,11.22_4_with 12...,884.7,4.9239,4.6248
290,11.23,4,11.23_4_with 12...,911.2,4.2694,3.9426
291,11.24,4,11.24_4_with 12...,931.4,3.8203,3.5601
292,11.25,4,11.25_4_with 12...,955.4,3.1989,3.0599,1
293,11.26,4,11.26_4_with 12...,979.4,2.718,2.5354,1
294,11.27,4,11.27_4_with 12...,1004.1,2.3415,2.2087,1
295,11.28,4,11.28_4_with 12...,1027.8,1.9201,1.793,1
296,11.25,4,11.25_4_with 0....,955.6,9.5982,8.9424,2
297,11.26,4,11.26_4_with 0....,979,8.1552,7.6349,2
298,11.27,4,11.27_4_with 0....,1004.2,7.1236,6.3439,2
299,11.28,4,11.28_4_with 0....,1027.5,6.0139,5.6552,2
300,11.29,4,11.29_4_with 0....,1051.7,5.3382,4.6943
301,11.30,4,11.30_4_with 0....,1079.2,4.1949,3.9935
302,12.01,4,12.01_4_with 0....,1101.4,3.6837,3.4556
303,12.02,4,12.02_4_with 0....,1124.9,3.1073,2.9427,1
304,12.03,4,12.03_4_with 0....,1148.4,2.7067,2.6046,1
305,12.04,4,12.04_4_with 0....,1173.1,2.3568,2.1778,1
306,12.05,4,12.05_4_with 0....,1196.5,1.8979,2.0095,1
307,12.02,4,12.02_4_with 0_...,1125.5,6.761,6.529,2
308,12.03,4,12.03_4_with 0_...,1148,5.7963,5.5904,2
309,12.04,4,12.04_4_with 0_...,1173.3,4.7796,4.6947,2
310,12.05,4,12.05_4_with 0_...,1196.1,4.2618,4.1584,2
311,12.06,4,12.06_4_with 0_...,1221.1,3.5325,3.498
312,12.07,4,12.07_4_with 0_...,1245.3,2.9554,3.0548
313,12.08,4,12.08_4_with 0_...,1269.2,2.5218,2.3852
314,12.09,4,12.09_4_with 0_...,1293.8,2.1972,1.9729
315,12.10,4,12.10_4_with 0_...,1317.2,1.7496,1.9445
316,12.11,4,12.11_4_with 1_...,1342.8,1.4928,1.6094
317,12.12,4,12.12_4_with 1_...,1366.2,1.2486,1.3839
318,12.13,4,12.13_4_with 1_...,1391.3,1.0294,1.14
319,12.14,4,12.14_4_with 1_...,1421.4,0.8142,0.9569
320,12.15,4,12.15_4_with 1_...,1433.2,0.7655,0.9275
321,12.16,4,12.16_4_with 1_...,1469.6,0.5556,0.786
322,12.17,4,12.17_4_with 1_...,1488.1,0.4242,0.5777
323,12.18,4,12.18_4_with 1_...,1518.4,0.3576,0.5155
324,12.19,4,12.19_4_with 1_...,1529.2,0.3144,0.3757
