,name,747 kev,633/634 kev
,12.10_1_with 0_0.5.root,2.616,5.155
,12.10_2_with 0_0.5.root,2.597,5.342
,12.10_3_with 0_0.5.root,2.723,5.591
,12.10_4_with 0_0.5.root,2.567,5.509
,,2.6355,5.3165
,12.10_1_with 1_0.5.root,2.43,5.018
,12.10_2_with 1_0.5.root,2.606,5.178
,12.10_3_with 1_0.5.root,2.695,5.355
,12.10_4_with 1_0.5.root,2.642,5.357
,,2.60857142857143,5.33571428571429
,12.11_1_with 1_0.5.root,2.123,4.615
,12.11_2_with 1_0.5.root,2.269,4.981
,12.11_3_with 1_0.5.root,2.255,5.005
,12.11_4_with 1_0.5.root,2.351,5.068
,,2.2495,4.91725
,12.12_1_with 1_0.5.root,1.953,4.343
,12.12_2_with 1_0.5.root,2.005,4.782
,12.12_3_with 1_0.5.root,1.999,4.594
,12.12_4_with 1_0.5.root,2.035,4.734
,,1.998,4.61325
2,12.13_1_with 1_0.5.root,1.773,4.101
2,12.13_2_with 1_0.5.root,1.717,4.538
2,12.13_3_with 1_0.5.root,1.767,4.486
2,12.13_4_with 1_0.5.root,1.835,4.438
2 平均值,,1.773,4.39075
3,12.14_1_with 1_0.5.root,1.58,3.934
3,12.14_2_with 1_0.5.root,1.649,4.277
3,12.14_3_with 1_0.5.root,1.636,4.344
3,12.14_4_with 1_0.5.root,1.555,4.346
3 平均值,,1.605,4.22525
4,12.15_1_with 1_0.5.root,1.475,3.835
4,12.15_2_with 1_0.5.root,1.511,4.075
4,12.15_3_with 1_0.5.root,1.578,4.221
4,12.15_4_with 1_0.5.root,1.594,4.221
4 平均值,,1.5395,4.088
5,12.16_1_with 1_0.5.root,1.291,3.515
5,12.16_2_with 1_0.5.root,1.416,3.896
5,12.16_3_with 1_0.5.root,1.395,3.925
5,12.16_4_with 1_0.5.root,1.406,3.962
5 平均值,,1.377,3.8245
6,12.17_1_with 1_0.5.root,1.309,3.556
6,12.17_2_with 1_0.5.root,1.274,3.832
6,12.17_3_with 1_0.5.root,1.242,3.89
6,12.17_4_with 1_0.5.root,1.138,3.745
6 平均值,,1.24075,3.75575
7,12.18_1_with 1_0.5.root,1.216,3.297
7,12.18_2_with 1_0.5.root,1.05,3.599
7,12.18_3_with 1_0.5.root,1.134,3.737
7,12.18_4_with 1_0.5.root,1.123,3.719
7 平均值,,1.13075,3.588
8,12.19_1_with 1_0.5.root,1.139,3.352
8,12.19_2_with 1_0.5.root,1.171,3.55
8,12.19_3_with 1_0.5.root,1.065,3.616
8,12.19_4_with 1_0.5.root,1.129,3.672
8 平均值,,1.126,3.5475
9,12.20_1_with 1_0.5.root,0.915,3.183
9,12.20_2_with 1_0.5.root,0.968,3.401
9 平均值,,0.9415,3.292
